Frame,CORI_Roll,CORI_Pitch,CORI_Yaw,IORI_Roll,IORI_Pitch,IORI_Yaw,CORI_Pitch_Half,GRAV_X,GRAV_Y,GRAV_Z,GRAV_Roll,GRAV_Pitch
172,-3.37,-60.23,1.6,0.0,6.2,0.0,-30.12,27604,16594,-6028,121.01,-10.6
173,-3.0,-54.8,2.09,0.0,0.71,0.0,-27.4,25858,19183,-6084,126.57,-10.7
174,-0.7,-46.06,1.42,0.0,-7.23,0.0,-23.03,22680,23031,-5370,135.44,-9.43
175,2.24,-32.33,-0.37,0.0,-18.87,0.0,-16.17,16678,27926,-3958,149.15,-6.94
176,3.41,-14.58,-0.67,0.0,-20.0,0.0,-7.29,7391,31761,-3202,166.9,-5.61
177,4.05,4.21,2.04,0.0,-20.0,0.0,2.11,-3482,32469,-2703,-173.88,-4.73
178,4.86,20.42,7.02,0.0,-20.0,0.0,10.21,-12847,30045,-2430,-156.85,-4.25
179,7.81,30.95,11.28,0.0,-20.0,0.0,15.48,-18379,27105,-1085,-145.86,-1.9
180,10.24,35.96,13.18,0.0,-20.0,0.0,17.98,-20780,25334,-153,-140.64,-0.27
181,9.4,36.3,12.33,0.0,-18.19,0.0,18.15,-20829,25287,-563,-140.52,-0.98
182,5.93,33.87,9.15,0.0,-13.86,0.0,16.93,-19535,26219,-2137,-143.31,-3.74
183,2.39,29.19,4.96,0.0,-7.99,0.0,14.59,-17016,27739,-3827,-148.47,-6.71
184,0.57,23.34,1.42,0.0,-1.85,0.0,11.67,-13814,29321,-4805,-154.77,-8.43
185,1.07,17.49,-0.09,0.0,3.6,0.0,8.75,-10596,30672,-4537,-160.94,-7.96
186,2.78,12.94,-0.66,0.0,7.35,0.0,6.47,-8080,31555,-3556,-165.64,-6.23
187,4.69,9.62,-0.86,0.0,9.62,0.0,4.81,-6253,32069,-2483,-168.97,-4.35
188,6.64,6.94,-0.48,0.0,11.04,0.0,3.47,-4771,32390,-1330,-171.62,-2.33
189,7.92,5.22,0.13,0.0,11.4,0.0,2.61,-3884,32530,-591,-173.19,-1.03
190,8.98,3.96,0.54,0.0,11.34,0.0,1.98,-3219,32608,16,-174.36,0.03
191,10.14,2.91,1.12,0.0,11.06,0.0,1.45,-2663,32650,730,-175.34,1.28
192,10.28,2.36,1.47,0.0,10.38,0.0,1.18,-2392,32669,827,-175.81,1.45
193,8.99,2.21,1.3,0.0,9.51,0.0,1.1,-2297,32686,105,-175.98,0.18
194,5.8,2.19,1.21,0.0,8.6,0.0,1.1,-2264,32647,-1645,-176.03,-2.88
195,-2.03,2.97,1.54,0.0,7.08,0.0,1.48,-2709,32107,-5956,-175.18,-10.47
196,-17.15,4.65,1.05,0.0,5.01,0.0,2.33,-3724,29294,-14199,-172.76,-25.68
197,-36.36,3.59,-3.23,0.0,4.5,0.0,1.79,-2740,22971,-23204,-173.2,-45.09
198,-54.97,-1.36,-8.08,0.0,5.26,0.0,-0.68,583,14215,-29516,177.65,-64.27
199,-66.57,-6.15,-9.64,0.0,6.16,0.0,-3.07,3470,7840,-31624,156.13,-74.83
200,-70.18,-7.9,-9.78,0.0,6.07,0.0,-3.95,4445,5963,-31911,143.3,-76.88
201,-71.18,-7.4,-9.55,0.0,5.51,0.0,-3.7,4128,5419,-32050,142.7,-78.0
202,-71.03,-5.79,-8.76,0.0,5.16,0.0,-2.9,3132,5559,-32139,150.6,-78.77
203,-70.21,-3.84,-7.31,0.0,5.3,0.0,-1.92,1902,6039,-32149,162.52,-78.86
204,-67.93,-1.72,-5.66,0.0,5.51,0.0,-0.86,566,7278,-31943,175.55,-77.13
205,-61.44,0.58,-3.53,0.0,5.99,0.0,0.29,-923,10731,-30945,-175.08,-70.81
206,-47.41,3.03,-0.63,0.0,6.81,0.0,1.52,-2564,17957,-27287,-171.87,-56.39
207,-28.78,4.77,2.17,0.0,7.25,0.0,2.38,-3882,25701,-19950,-171.41,-37.51
208,-9.14,3.36,4.4,0.0,9.11,0.0,1.68,-3259,31001,-10099,-174.0,-17.95
209,9.08,0.14,5.17,0.0,11.73,0.0,0.07,-1459,32732,369,-177.45,0.65
210,21.05,-2.94,5.2,0.0,13.57,0.0,-1.47,263,32002,7034,179.53,12.4
211,29.22,-5.67,4.73,0.0,14.79,0.0,-2.84,1885,30609,11541,176.48,20.62
212,33.08,-7.16,4.81,0.0,14.48,0.0,-3.58,2726,29716,13536,174.76,24.4
213,33.31,-7.24,4.95,0.0,13.02,0.0,-3.62,2737,29676,13621,174.73,24.56
214,31.47,-6.57,5.01,0.0,11.19,0.0,-3.28,2352,30119,12687,175.53,22.78
215,27.89,-5.4,4.7,0.0,9.33,0.0,-2.7,1717,30893,10787,176.82,19.22
216,22.41,-3.81,4.01,0.0,7.45,0.0,-1.9,902,31802,7842,178.38,13.85
217,13.28,-1.2,3.43,0.0,4.79,0.0,-0.6,-522,32648,2739,-179.08,4.79
218,-0.95,2.04,1.95,0.0,1.83,0.0,1.02,-2278,32236,-5416,-175.96,-9.51
219,-19.52,3.71,-1.38,0.0,0.1,0.0,1.85,-2962,28691,-15546,-174.11,-28.32
220,-37.15,2.24,-6.02,0.0,-0.07,0.0,1.12,-1668,22565,-23699,-175.77,-46.33
221,-47.98,-0.57,-9.34,0.0,0.14,0.0,-0.28,269,17666,-27595,179.13,-57.37
222,-51.41,-2.22,-10.48,0.0,0.36,0.0,-1.11,1278,16087,-28516,175.46,-60.49
223,-51.96,-2.89,-10.62,0.0,0.6,0.0,-1.44,1671,15823,-28644,173.97,-60.95
224,-51.47,-2.79,-10.24,0.0,0.76,0.0,-1.4,1585,16054,-28520,174.36,-60.51
225,-49.57,-2.01,-9.39,0.0,0.85,0.0,-1.01,1051,16976,-28006,176.46,-58.73
226,-44.67,-0.97,-8.08,0.0,1.05,0.0,-0.49,373,19243,-26518,178.89,-54.03
227,-34.42,0.54,-5.55,0.0,1.61,0.0,0.27,-747,23648,-22668,-178.19,-43.77
228,-18.79,1.29,-1.92,0.0,2.83,0.0,0.65,-1497,28921,-15330,-177.04,-27.89
229,-1.37,0.54,1.82,0.0,4.47,0.0,0.27,-1402,32228,-5751,-177.51,-10.11
230,11.65,-1.42,4.89,0.0,5.99,0.0,-0.71,-557,32712,1818,-179.02,3.18
231,18.02,-3.52,6.85,0.0,6.92,0.0,-1.76,484,32312,5423,179.14,9.53
232,20.42,-4.81,7.88,0.0,7.05,0.0,-2.4,1113,32043,6758,178.01,11.9
233,20.85,-5.47,8.3,0.0,6.77,0.0,-2.73,1450,31975,7013,177.4,12.36
234,19.31,-5.57,8.37,0.0,6.16,0.0,-2.79,1506,32144,6179,177.32,10.87
235,15.12,-5.15,8.63,0.0,5.11,0.0,-2.57,1250,32520,3817,177.8,6.69
236,7.9,-3.8,8.64,0.0,3.46,0.0,-1.9,507,32763,-184,179.11,-0.32
237,-4.81,-1.16,7.79,0.0,0.88,0.0,-0.58,-946,31900,-7428,-178.3,-13.1
238,-22.32,1.08,4.54,0.0,-1.53,0.0,0.54,-2013,28035,-16841,-175.89,-30.93
239,-38.85,-0.28,-0.27,0.0,-1.96,0.0,-0.14,-774,21858,-24398,-177.97,-48.13
240,-46.67,-3.18,-4.05,0.0,-1.87,0.0,-1.59,1319,18334,-27124,175.89,-55.88
241,-47.79,-3.66,-6.32,0.0,-2.87,0.0,-1.83,1710,17862,-27416,174.53,-56.8
242,-46.66,-3.38,-7.62,0.0,-3.62,0.0,-1.69,1678,18370,-27080,174.78,-55.74
243,-42.67,-2.67,-7.7,0.0,-3.76,0.0,-1.33,1324,20169,-25790,176.24,-51.91
244,-33.06,-0.83,-6.19,0.0,-3.73,0.0,-0.42,137,24166,-22127,179.68,-42.48
245,-17.24,1.43,-2.68,0.0,-3.47,0.0,0.72,-1488,29359,-14474,-177.1,-26.21
246,-2.8,2.37,2.36,0.0,-2.66,0.0,1.18,-2498,32038,-6400,-175.54,-11.26
247,3.84,1.7,5.3,0.0,-1.67,0.0,0.85,-2346,32573,-2681,-175.88,-4.69
248,5.71,1.14,5.32,0.0,-1.01,0.0,0.57,-2038,32659,-1696,-176.43,-2.97
249,6.53,0.75,4.58,0.0,-0.49,0.0,0.38,-1749,32696,-1262,-176.94,-2.21
250,7.3,0.45,3.59,0.0,-0.07,0.0,0.22,-1497,32722,-827,-177.38,-1.45
251,7.61,0.16,2.8,0.0,0.29,0.0,0.08,-1251,32736,-657,-177.81,-1.15
252,7.22,0.18,2.21,0.0,0.31,0.0,0.09,-1221,32732,-902,-177.86,-1.58
253,6.44,0.25,1.81,0.0,0.26,0.0,0.13,-1226,32715,-1369,-177.85,-2.39
254,5.74,0.29,1.5,0.0,0.23,0.0,0.14,-1223,32696,-1770,-177.86,-3.1
255,5.02,0.31,0.72,0.0,0.26,0.0,0.16,-1170,32673,-2182,-177.95,-3.82
256,4.13,0.18,-0.74,0.0,0.47,0.0,0.09,-978,32638,-2734,-178.28,-4.79
257,3.58,-0.38,-2.69,0.0,1.05,0.0,-0.19,-472,32621,-3056,-179.17,-5.35
258,2.94,-1.11,-4.08,0.0,1.68,0.0,-0.55,66,32586,-3437,179.88,-6.02
259,2.37,-1.7,-4.65,0.0,2.07,0.0,-0.85,464,32544,-3786,179.18,-6.63
260,2.28,-1.94,-4.48,0.0,2.07,0.0,-0.97,575,32539,-3813,178.99,-6.68
261,2.05,-1.93,-3.97,0.0,1.83,0.0,-0.96,520,32525,-3942,179.08,-6.91
262,1.79,-1.76,-3.64,0.0,1.49,0.0,-0.88,391,32508,-4095,179.31,-7.18
263,1.67,-1.61,-3.68,0.0,1.2,0.0,-0.8,312,32501,-4157,179.45,-7.29
264,1.58,-1.5,-3.71,0.0,0.99,0.0,-0.75,251,32494,-4215,179.56,-7.39
265,1.56,-1.43,-3.57,0.0,0.83,0.0,-0.72,206,32494,-4219,179.64,-7.4
266,1.64,-1.39,-3.0,0.0,0.7,0.0,-0.7,145,32498,-4183,179.74,-7.33
267,1.79,-1.3,-1.71,0.0,0.5,0.0,-0.65,-2,32503,-4150,-180.0,-7.28
268,2.17,-1.13,0.6,0.0,0.23,0.0,-0.56,-259,32519,-4013,-179.54,-7.03
269,2.63,-0.87,4.74,0.0,-0.16,0.0,-0.43,-728,32526,-3896,-178.72,-6.83
270,3.62,-0.99,11.84,0.0,-0.31,0.0,-0.5,-1233,32567,-3397,-177.83,-5.95
271,4.93,-2.24,22.81,0.0,0.24,0.0,-1.12,-1448,32649,-2370,-177.46,-4.15
272,6.34,-4.41,35.65,0.0,1.22,0.0,-2.2,-1160,32737,-781,-177.97,-1.37
273,7.21,-6.05,46.71,0.0,1.53,0.0,-3.02,-951,32748,568,-178.34,0.99
274,7.54,-6.72,52.38,0.0,1.37,0.0,-3.36,-913,32731,1243,-178.4,2.17
275,7.45,-6.75,50.69,0.0,1.45,0.0,-3.37,-792,32739,1083,-178.61,1.89
276,6.47,-5.46,41.19,0.0,1.32,0.0,-2.73,-922,32754,-174,-178.39,-0.3
277,3.85,-3.15,25.35,0.0,0.85,0.0,-1.57,-1055,32642,-2651,-178.15,-4.64
278,0.32,-1.8,6.19,0.0,0.8,0.0,-0.9,-1,32319,-5399,-180.0,-9.48
279,-1.32,-1.0,-10.73,0.0,0.13,0.0,-0.5,1227,32115,-6389,177.81,-11.24
280,-1.29,0.21,-22.97,0.0,-1.21,0.0,0.11,1698,32164,-6024,176.98,-10.59
281,-2.29,1.1,-30.24,0.0,-2.03,0.0,0.55,1844,32095,-6340,176.71,-11.16
282,-3.53,0.93,-30.4,0.0,-1.68,0.0,0.46,1987,31933,-7073,176.44,-12.47
283,-3.46,0.47,-22.85,0.0,-0.67,0.0,0.24,1549,31895,-7345,177.22,-12.95
284,-1.87,-0.34,-8.14,0.0,0.92,0.0,-0.17,596,32062,-6732,178.94,-11.86
285,0.76,-1.93,12.45,0.0,2.82,0.0,-0.96,-552,32368,-5065,-179.02,-8.89
286,4.28,-4.63,31.86,0.0,4.7,0.0,-2.31,-690,32693,-2084,-178.79,-3.65
287,6.24,-6.44,43.1,0.0,5.11,0.0,-3.22,-485,32763,-236,-179.15,-0.41
288,7.12,-6.82,45.88,0.0,4.67,0.0,-3.41,-477,32760,507,-179.17,0.89
289,7.13,-6.44,40.89,0.0,4.42,0.0,-3.22,-345,32765,153,-179.4,0.27
290,5.92,-4.89,28.83,0.0,3.97,0.0,-2.44,-342,32741,-1268,-179.4,-2.22
291,2.89,-3.46,11.89,0.0,3.88,0.0,-1.73,379,32551,-3740,179.33,-6.55
292,-0.37,-3.03,-3.77,0.0,3.79,0.0,-1.51,1677,32187,-5902,177.02,-10.38
293,-1.33,-3.16,-12.84,0.0,3.47,0.0,-1.58,2640,32042,-6325,175.29,-11.13
294,-1.26,-3.34,-15.62,0.0,3.23,0.0,-1.67,3018,32026,-6237,174.62,-10.97
295,-0.95,-3.11,-14.44,0.0,2.72,0.0,-1.55,2764,32074,-6104,175.07,-10.74
296,-0.13,-2.51,-11.58,0.0,1.95,0.0,-1.25,2136,32202,-5669,176.21,-9.96
297,0.51,-1.85,-8.97,0.0,1.17,0.0,-0.93,1500,32298,-5317,177.34,-9.34
298,0.68,-1.49,-7.44,0.0,0.72,0.0,-0.75,1142,32324,-5243,177.98,-9.21
299,0.59,-1.4,-7.12,0.0,0.56,0.0,-0.7,1064,32320,-5284,178.11,-9.28
300,0.32,-1.38,-7.33,0.0,0.49,0.0,-0.69,1081,32292,-5449,178.08,-9.57
301,0.16,-1.37,-7.43,0.0,0.43,0.0,-0.68,1079,32278,-5535,178.09,-9.73
302,0.12,-1.43,-7.17,0.0,0.44,0.0,-0.72,1099,32273,-5560,178.05,-9.77
303,0.08,-1.44,-6.72,0.0,0.41,0.0,-0.72,1054,32270,-5584,178.13,-9.81
304,0.1,-1.44,-6.34,0.0,0.37,0.0,-0.72,1017,32275,-5567,178.2,-9.78
305,0.1,-1.53,-6.23,0.0,0.41,0.0,-0.76,1055,32273,-5568,178.13,-9.78
306,0.09,-1.7,-6.07,0.0,0.52,0.0,-0.85,1141,32269,-5575,177.97,-9.8
307,0.12,-1.78,-5.68,0.0,0.55,0.0,-0.89,1149,32272,-5558,177.96,-9.77
308,0.04,-1.81,-5.16,0.0,0.51,0.0,-0.9,1108,32264,-5608,178.03,-9.85
309,-0.06,-1.85,-4.74,0.0,0.5,0.0,-0.93,1088,32255,-5663,178.07,-9.95
310,-0.16,-1.98,-4.5,0.0,0.56,0.0,-0.99,1139,32244,-5718,177.98,-10.05
311,-0.21,-2.05,-4.31,0.0,0.57,0.0,-1.03,1164,32239,-5742,177.93,-10.09
312,-0.26,-2.04,-4.16,0.0,0.51,0.0,-1.02,1139,32235,-5770,177.98,-10.14
313,-0.27,-2.12,-4.1,0.0,0.53,0.0,-1.06,1184,32234,-5767,177.9,-10.14
314,-0.38,-2.22,-4.12,0.0,0.56,0.0,-1.11,1245,32220,-5830,177.79,-10.25
315,-0.54,-2.28,-4.18,0.0,0.56,0.0,-1.14,1288,32209,-5880,177.71,-10.34
316,-0.65,-2.44,-4.28,0.0,0.65,0.0,-1.22,1397,32196,-5928,177.52,-10.42
317,-0.6,-2.59,-4.29,0.0,0.72,0.0,-1.29,1477,32202,-5873,177.37,-10.33
318,-0.49,-2.64,-4.18,0.0,0.7,0.0,-1.32,1517,32217,-5782,177.3,-10.16
319,-0.47,-2.6,-4.1,0.0,0.59,0.0,-1.3,1506,32227,-5730,177.32,-10.07
320,-0.43,-2.53,-4.06,0.0,0.47,0.0,-1.27,1470,32238,-5677,177.39,-9.98
321,-0.34,-2.55,-4.07,0.0,0.43,0.0,-1.27,1497,32251,-5592,177.34,-9.83
322,-0.32,-2.49,-4.12,0.0,0.34,0.0,-1.24,1475,32259,-5555,177.38,-9.76
323,-0.35,-2.4,-4.06,0.0,0.23,0.0,-1.2,1431,32263,-5544,177.46,-9.74
324,-0.47,-2.25,-3.93,0.0,0.07,0.0,-1.13,1343,32258,-5594,177.62,-9.83
325,-0.41,-2.16,-3.86,0.0,-0.02,0.0,-1.08,1277,32268,-5553,177.73,-9.76
326,-0.37,-2.04,-3.87,0.0,-0.12,0.0,-1.02,1220,32284,-5468,177.84,-9.61
327,-0.34,-1.92,-3.91,0.0,-0.21,0.0,-0.96,1180,32288,-5454,177.91,-9.58
328,-0.28,-1.86,-4.01,0.0,-0.24,0.0,-0.93,1137,32298,-5405,177.98,-9.49
329,-0.13,-1.92,-4.0,0.0,-0.17,0.0,-0.96,1177,32308,-5334,177.91,-9.37
330,0.02,-1.93,-3.83,0.0,-0.15,0.0,-0.97,1179,32327,-5221,177.91,-9.17
331,-0.03,-1.83,-3.73,0.0,-0.22,0.0,-0.92,1126,32330,-5215,178.01,-9.16
332,-0.05,-1.72,-3.69,0.0,-0.3,0.0,-0.86,1077,32330,-5225,178.09,-9.18
333,-0.14,-1.58,-3.5,0.0,-0.39,0.0,-0.79,976,32326,-5269,178.27,-9.25
334,-0.19,-1.57,-3.28,0.0,-0.36,0.0,-0.79,939,32323,-5291,178.34,-9.29
335,0.04,-1.66,-3.09,0.0,-0.24,0.0,-0.83,964,32344,-5156,178.29,-9.05
336,0.38,-1.74,-2.91,0.0,-0.15,0.0,-0.87,995,32375,-4952,178.24,-8.69
337,0.45,-1.76,-2.9,0.0,-0.12,0.0,-0.88,1011,32381,-4912,178.21,-8.62
338,0.53,-1.82,-2.93,0.0,-0.05,0.0,-0.91,1060,32388,-4854,178.13,-8.52
339,0.61,-1.91,-2.96,0.0,0.04,0.0,-0.96,1117,32393,-4808,178.03,-8.44
340,0.64,-1.94,-2.88,0.0,0.05,0.0,-0.97,1127,32396,-4784,178.01,-8.4
341,0.49,-1.84,-2.84,0.0,-0.03,0.0,-0.92,1073,32388,-4848,178.1,-8.51
342,0.34,-1.74,-2.9,0.0,-0.12,0.0,-0.87,1024,32377,-4934,178.19,-8.66
343,0.36,-1.73,-2.94,0.0,-0.12,0.0,-0.86,1031,32377,-4936,178.18,-8.66
344,0.43,-1.69,-2.82,0.0,-0.14,0.0,-0.85,1012,32381,-4907,178.21,-8.61
345,0.52,-1.7,-2.65,0.0,-0.12,0.0,-0.85,993,32390,-4854,178.24,-8.52
346,0.63,-1.74,-2.6,0.0,-0.07,0.0,-0.87,1032,32401,-4774,178.18,-8.38
347,0.63,-1.66,-2.57,0.0,-0.13,0.0,-0.83,998,32404,-4760,178.24,-8.35
